Model,Set,nrounds,Date,Train_MSE,Val_MSE,Test_MSE
xgboost,A,200,04-11-2019,259,283,297
xgboost,A,200,05-21-2019,208,377,377
xgboost,A,200,06-13-2019,NA,NA,NA
xgboost,A,200,06-29-2019,212,273,293
xgboost,A,200,07-11-2019,173,283,228
xgboost,A,200,08-01-2019,173,348,371
xgboost,A,200,08-13-2019,127,336,216
xgboost,A,200,08-21-2019,188,268,195
xgboost,A,200,08-28-2019,183,397,255
xgboost,A,200,09-07-2019,137,488,202
xgboost,A,200,09-13-2019,212,297,228
xgboost,B,200,04-11-2019,290,274,231
xgboost,B,200,05-21-2019,270,304,217
xgboost,B,200,06-13-2019,NA,NA,NA
xgboost,B,200,06-29-2019,221,266,231
xgboost,B,200,07-11-2019,201,218,221
xgboost,B,200,08-01-2019,196,311,268
xgboost,B,200,08-13-2019,190,198,169
xgboost,B,200,08-21-2019,229,193,160
xgboost,B,200,08-28-2019,225,542,419
xgboost,B,200,09-07-2019,163,168,158
xgboost,B,200,09-13-2019,248,208,187
xgboost,C,200,04-11-2019,222,231,427
xgboost,C,200,05-21-2019,206,238,444
xgboost,C,200,06-13-2019,NA,NA,NA
xgboost,C,200,06-29-2019,197,224,331
xgboost,C,200,07-11-2019,191,199,269
xgboost,C,200,08-01-2019,195,283,410
xgboost,C,200,08-13-2019,165,292,421
xgboost,C,200,08-21-2019,193,146,297
xgboost,C,200,08-28-2019,214,180,287
xgboost,C,200,09-07-2019,135,180,420
xgboost,C,200,09-13-2019,180,221,430
xgboost,D,200,04-11-2019,193,406,267
xgboost,D,200,05-21-2019,166,377,282
xgboost,D,200,06-13-2019,NA,NA,NA
xgboost,D,200,06-29-2019,191,339,247
xgboost,D,200,07-11-2019,160,319,268
xgboost,D,200,08-01-2019,168,289,269
xgboost,D,200,08-13-2019,120,253,257
xgboost,D,200,08-21-2019,146,302,240
xgboost,D,200,08-28-2019,148,294,282
xgboost,D,200,09-07-2019,112,264,508
xgboost,D,200,09-13-2019,160,337,272
3DCNN,A,50,06-29-2019,170,209,243
3DCNN,A,50,07-11-2019,170,209,243
3DCNN,A,50,08-01-2019,170,209,243
3DCNN,A,50,08-13-2019,170,209,243
3DCNN,A,50,08-21-2019,170,209,243
3DCNN,B,50,06-29-2019,224,198,170
3DCNN,B,50,07-11-2019,224,198,170
3DCNN,B,50,08-01-2019,224,198,170
3DCNN,B,50,08-13-2019,224,198,170
3DCNN,B,50,08-21-2019,224,198,170
3DCNN,C,50,06-29-2019,241,129,222
3DCNN,C,50,07-11-2019,241,129,222
3DCNN,C,50,08-01-2019,241,129,222
3DCNN,C,50,08-13-2019,241,129,222
3DCNN,C,50,08-21-2019,241,129,222
3DCNN,D,50,06-29-2019,157,193,302
3DCNN,D,50,07-11-2019,157,193,302
3DCNN,D,50,08-01-2019,157,193,302
3DCNN,D,50,08-13-2019,157,193,302
3DCNN,D,50,08-21-2019,157,193,302
2DCNN,A,50,04-11-2019,196,238,259
2DCNN,A,50,05-21-2019,316,222,276
2DCNN,A,50,06-13-2019,NA,NA,NA
2DCNN,A,50,06-29-2019,206,223,304
2DCNN,A,50,07-11-2019,220,267,239
2DCNN,A,50,08-01-2019,136,194,186
2DCNN,A,50,08-13-2019,145,196,226
2DCNN,A,50,08-21-2019,170,200,200
2DCNN,A,50,08-28-2019,172,219,232
2DCNN,A,50,09-07-2019,141,194,184
2DCNN,A,50,09-13-2019,222,234,183
2DCNN,D,50,04-11-2019,204,276,206
2DCNN,D,50,05-21-2019,205,245,247
2DCNN,D,50,06-13-2019,NA,NA,NA
2DCNN,D,50,06-29-2019,213,223,220
2DCNN,D,50,07-11-2019,187,212,230
2DCNN,D,50,08-01-2019,141,181,233
2DCNN,D,50,08-13-2019,186,201,267
2DCNN,D,50,08-21-2019,166,202,221
2DCNN,D,50,08-28-2019,168,202,219
2DCNN,D,50,09-07-2019,138,166,210
2DCNN,D,50,09-13-2019,185,234,256
2DCNN,B,50,04-11-2019,278,209,218
2DCNN,B,50,05-21-2019,249,185,232
2DCNN,B,50,06-13-2019,NA,NA,NA
2DCNN,B,50,06-29-2019,223,196,239
2DCNN,B,50,07-11-2019,208,203,205
2DCNN,B,50,08-01-2019,176,182,154
2DCNN,B,50,08-13-2019,180,198,139
2DCNN,B,50,08-21-2019,214,173,133
2DCNN,B,50,08-28-2019,224,195,130
2DCNN,B,50,09-07-2019,187,158,106
2DCNN,B,50,09-13-2019,268,178,145
2DCNN,C,50,04-11-2019,223,173,314
2DCNN,C,50,05-21-2019,208,180,309
2DCNN,C,50,06-13-2019,NA,NA,NA
2DCNN,C,50,06-29-2019,227,180,250
2DCNN,C,50,07-11-2019,202,179,259
2DCNN,C,50,08-01-2019,198,128,176
2DCNN,C,50,08-13-2019,206,138,185
2DCNN,C,50,08-21-2019,199,122,211
2DCNN,C,50,08-28-2019,214,112,232
2DCNN,C,50,09-07-2019,193,103,182
2DCNN,C,50,09-13-2019,201,125,253
